endTime,artistName,trackName,msPlayed
2021-07-13 17:59,Khalid,8TEEN,228600
2021-07-13 18:02,The Lumineers,Cleopatra,201413
2021-07-13 18:06,The Lumineers,Sleep On The Floor,211851
2021-07-13 18:09,Ali Gatie,Can't Let You Go,204156
2021-07-13 18:11,Ro Ransom,See Me Fall (feat. Kensei Abbot),61726
2021-07-13 18:12,Dino James,Dooriyan (feat. Kaprila),4350
2021-07-13 18:12,Yung Felix,OEFF,29630
2021-07-13 18:54,Rival,Seasons,4000
2021-07-14 05:08,Jemz,Moving On,29680
2021-07-14 05:09,Morning Chill Out Playlist,High-class No Drums Jazz - Ambiance for Reading a Good Book,24510
2021-07-14 05:09,Morninglightmusic,Stardust,11840
2021-07-19 15:18,Rival,Seasons,244414
2021-07-19 15:21,Rival,Seasons,1152
2021-07-19 15:22,Morninglightmusic,Beachside,8892
2021-07-19 15:22,Florian Bur,Heaven-Snowflakes,29650
2021-07-19 15:22,Olexandr Ignatov,Infinite Survival,10531
2021-07-19 15:23,benny blanco,Lost (with 6 Dogs),12738
2021-07-19 15:27,The Lumineers,Dead Sea,247933
2021-07-19 15:30,The Lumineers,My Eyes,216600
2021-07-19 15:32,The Lumineers,Angela - Single Version,64147
2021-07-20 12:17,The Lumineers,Angela - Single Version,114717
2021-07-20 12:17,The Lumineers,Patience,25626
2021-07-20 17:58,Anuv Jain,Gul,214702
2021-07-21 12:12,Anuv Jain,Gul,333738
2021-07-21 12:28,Anuv Jain,Gul,217241
2021-07-21 12:28,KSI,Patience (feat. YUNGBLUD & Polo G),5288
2021-07-21 12:32,Rival,Seasons,248275
2021-07-21 12:36,Rival,Seasons,34735
2021-07-21 12:44,Rival,Seasons,248275
2021-07-21 12:47,Anuv Jain,Gul,217241
2021-07-21 12:51,KSI,Patience (feat. YUNGBLUD & Polo G),181720
2021-07-21 12:54,KSI,Holiday,193733
2021-07-21 12:58,Tedi Pagg,Tu Hi Das De,172831
2021-07-21 13:01,AP Dhillon,Insane,206060
2021-07-22 15:41,Rival,Seasons,13415
2021-07-22 15:47,Coldplay,The Scientist,309600
2021-07-22 15:51,Niall Horan,This Town,232852
2021-07-22 15:56,Snow Patrol,Chasing Cars,208487
2021-07-26 06:16,Snow Patrol,Chasing Cars,2883
2021-07-26 06:20,Rival,Seasons,248275
