,genre,artist,track,popularity,danceability,
77612,Children’s Music,Mahalia,I Wish I Missed My Ex,70,0.68,
77622,Children’s Music,Weezer,Everybody Wants To Rule The World,67,0.667,
77654,Children’s Music,Chloe x Halle,Happy Without Me,66,0.57,
77659,Children’s Music,Solange,Cranes in the Sky,67,0.719,
77667,Children’s Music,Passion Pit,Take a Walk,68,0.566,
77682,Children’s Music,Welshly Arms,Legendary,73,0.537,
77685,Children’s Music,Glass Animals,Life Itself,65,0.699,
77694,Children’s Music,Earl Sweatshirt,Chum,66,0.51,
77746,Children’s Music,Passion Pit,Sleepyhead,66,0.568,
77843,Children’s Music,Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,68,0.675,
77865,Children’s Music,6LACK,Sorry,66,0.423,
77887,Children’s Music,Michael W. Smith,Surrounded (Fight My Battles),65,0.483,
77893,Children’s Music,The Neighbourhood,Nervous,66,0.589,
77987,Children’s Music,Avenged Sevenfold,A Little Piece of Heaven,67,0.486,
78025,Children’s Music,Temple Of The Dog,Hunger Strike - 25th Anniversary Mix,66,0.384,
78063,Children’s Music,Hillsong UNITED,Touch The Sky,59,0.507,
78146,Children’s Music,CLOVES,Don't Forget About Me,66,0.494,
78149,Children’s Music,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",64,0.611,
78479,Children’s Music,Red Hot Chili Peppers,Sick Love,66,0.591,
78921,Children’s Music,Nao,If You Ever (feat. 6LACK),65,0.488,
78967,Children’s Music,Alanis Morissette,Ironic - 2015 Remaster,71,0.408,
79006,Children’s Music,Elijah Blake,Black and Blue,58,0.535,
86960,Rap,Juice WRLD,Robbery,91,0.708,
86965,Rap,Post Malone,Better Now,93,0.68,
86981,Rap,Post Malone,Psycho (feat. Ty Dolla $ign),89,0.739,
87004,Rap,Juice WRLD,Empty,76,0.725,
87029,Rap,Juice WRLD,Wasted (feat. Lil Uzi Vert),82,0.742,
87039,Rap,Post Malone,Candy Paint,84,0.67,
87043,Rap,Juice WRLD,10 Feet,69,0.674,
87062,Rap,Mac Miller,Self Care,81,0.52,
87070,Rap,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,84,0.698,
87090,Rap,Kendrick Lamar,All The Stars (with SZA),84,0.698,
87146,Rap,2 Chainz,Rule The World (feat. Ariana Grande),80,0.592,
87156,Rap,Drake,Mob Ties,80,0.755,
87168,Rap,Social House,Magic In The Hamptons (feat. Lil Yachty),77,0.769,
87180,Rap,A Boogie Wit da Hoodie,Love Drugs and Sex,77,0.762,
87191,Rap,Travis Scott,Antidote,77,0.713,
87194,Rap,Mac Miller,Hurt Feelings,76,0.69,
87199,Rap,Travis Scott,WAKE UP,77,0.741,
87212,Rap,DJ Khaled,No Brainer,84,0.552,
87218,Rap,Kodak Black,Codeine Dreaming (feat. Lil Wayne),77,0.736,
87231,Rap,Trippie Redd,BANG!,75,0.715,
87235,Rap,A Boogie Wit da Hoodie,Just Like Me (feat. Young Thug),77,0.774,
87237,Rap,KIDS SEE GHOSTS,Reborn,77,0.585,
87259,Rap,G-Eazy,"Me, Myself & I",79,0.757,
87277,Rap,ScHoolboy Q,X (with 2 Chainz & Saudi),77,0.768,
87289,Rap,Mario,Let Me Love You,80,0.656,
87300,Rap,Future,Hard Work Pays Off,77,0.736,
87345,Rap,Miguel,Sure Thing,75,0.684,
87353,Rap,SZA,Broken Clocks,74,0.684,
87367,Rap,"Tyler, The Creator",Boredom,74,0.559,
87424,Rap,Kanye West,Ultralight Beam,72,0.596,
87425,Rap,Tee Grizzley,First Day Out,75,0.587,
87431,Rap,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,76,0.658,
87449,Rap,Travis Scott,90210 (feat. Kacy Hill),72,0.402,
87452,Rap,Drake,Headlines,74,0.636,
87455,Rap,J. Cole,Power Trip,73,0.667,
87456,Rap,Childish Gambino,Feels Like Summer,76,0.554,
87460,Rap,Future,Low Life,76,0.722,
87462,Rap,Post Malone,Money Made Me Do It,74,0.734,
87475,Rap,Offset,Father Of 4 (feat. Big Rube),75,0.736,
87506,Rap,The Weeknd,Die For You,78,0.586,
87511,Rap,A Boogie Wit da Hoodie,4 Min Convo (Favorite Song),73,0.705,
87513,Rap,Aminé,Heebiejeebies - Bonus,73,0.766,
87517,Rap,A$AP Rocky,Sundress,77,0.721,
87535,Rap,Amenazzy,Baby,86,0.7,
87537,Rap,Quinn XCII,U & Us,71,0.605,
87552,Rap,Quinn XCII,Tough (feat. Noah Kahan),71,0.729,
87566,Rap,Nelly,Dilemma,78,0.725,
87574,Rap,Mac Miller,Wings,72,0.656,
87587,Rap,Kanye West,Flashing Lights,68,0.634,
87604,Rap,Trippie Redd,Romeo & Juliet,71,0.609,
87629,Rap,Quinn XCII,Always Been You,70,0.731,
87645,Rap,Kid Cudi,Soundtrack 2 My Life,68,0.524,
87684,Rap,Jeremih,Planez,73,0.65,
87720,Rap,Luniz,I Got 5 On It,74,0.6,
87729,Rap,Kodak Black,Too Many Years,71,0.665,
87756,Rap,6LACK,Switch,75,0.664,
87758,Rap,Kanye West,Homecoming,66,0.679,
87765,Rap,6LACK,Seasons (feat. Khalid),73,0.605,
87771,Rap,Lil Peep,Benz Truck (гелик),76,0.602,
88557,Hip-Hop,AJ x Deno,London,71,0.743,
89525,Hip-Hop,Shakka,Man Down (feat. AlunaGeorge),69,0.726,
92158,Hip-Hop,A$AP Ferg,Let You Go,50,0.739,
92837,Indie,Halsey,Without Me (with Juice WRLD),81,0.742,
92840,Indie,Peter Manos,In My Head,80,0.499,
92845,Indie,Arctic Monkeys,Do I Wanna Know?,84,0.548,
92851,Indie,Edward Sharpe & The Magnetic Zeros,Home,74,0.542,
92857,Indie,alt-J,Breezeblocks,71,0.616,
92863,Indie,Vampire Weekend,Harmony Hall,76,0.653,
92871,Indie,G-Eazy,"Me, Myself & I",79,0.757,
92894,Indie,Ruel,Younger,78,0.745,
92897,Indie,Quinn XCII,U & Us,71,0.605,
92900,Indie,KALEO,Way Down We Go,76,0.489,
92902,Indie,Quinn XCII,Tough (feat. Noah Kahan),71,0.729,
92909,Indie,ayokay,Stay With Me,74,0.695,
92914,Indie,Amber Run,I Found,72,0.389,
92918,Indie,Quinn XCII,Always Been You,70,0.731,
92929,Indie,Dermot Kennedy,Lost,73,0.578,
92935,Indie,Mac Ayres,Easy,73,0.722,
92936,Indie,Cage The Elephant,Trouble,72,0.47,
92940,Indie,Bon Iver,Holocene,71,0.375,
92941,Indie,Flume,Never Be Like You (feat. Kai),70,0.444,
92967,Indie,Blanco White,Olalla,74,0.572,
92974,Indie,Quinn XCII,Life Must Go On,67,0.715,
92981,Indie,The Lumineers,Stubborn Love,66,0.598,
92984,Indie,Lucky Daye,Roll Some Mo,70,0.405,
92995,Indie,The Band CAMINO,14-Feb,68,0.607,
93000,Indie,Lord Huron,The Night We Met (feat. Phoebe Bridgers),74,0.424,
93005,Indie,Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,69,0.675,
93008,Indie,Moon Taxi,Two High,69,0.68,
93012,Indie,Gus Dapperton,"Prune, You Talk Funny",66,0.57,
93020,Indie,Passion Pit,Take a Walk,68,0.566,
93028,Indie,The Black Keys,Howlin' For You,70,0.705,
93031,Indie,Her's,Cool with You,66,0.533,
93036,Indie,Wet,11 Hours - Branchez Remix,67,0.687,
93048,Indie,Mac DeMarco,Still Beating,67,0.709,
93059,Indie,Passion Pit,Sleepyhead,66,0.568,
93067,Indie,Elohim,Sleepy Eyes,68,0.608,
93073,Indie,Quinn XCII,Panama,67,0.73,
93080,Indie,Fleet Foxes,"If You Need To, Keep Time On Me",69,0.521,
93081,Indie,Colter Wall,Sleeping on the Blacktop,65,0.567,
93095,Indie,James TW,Say Love,78,0.752,
93099,Indie,James Blake,Barefoot In The Park (feat. ROSALÍA),71,0.558,
93107,Indie,James Blake,I'll Come Too,68,0.661,
93127,Indie,Noah Kahan,False Confidence,73,0.417,
93129,Indie,Vance Joy,Like Gold,68,0.477,
93145,Indie,Mahalia,I Wish I Missed My Ex,70,0.68,
93148,Indie,Gregory Alan Isakov,Chemicals,71,0.608,
93151,Indie,Grizfolk,Bob Marley,67,0.562,
93158,Indie,VÉRITÉ,Somebody Else,67,0.674,
93164,Indie,Villagers,Nothing Arrived - Live from Spotify London,70,0.579,
93165,Indie,Jakob Ogawa,All Your Love,66,0.568,
93175,Indie,A R I Z O N A,Freaking Out,70,0.661,
93178,Indie,Anna Of The North,Lovers,65,0.599,
93187,Indie,Rosie Carney,Thousand (feat. Lisa Hannigan),68,0.676,
93189,Indie,Rex Orange County,4 Seasons,66,0.505,
93194,Indie,Carly Rae Jepsen,Now That I Found You,71,0.611,
93198,Indie,Dermot Kennedy,After Rain,68,0.467,
93224,Indie,Dermot Kennedy,"Heartless - Recorded At RAK Studios, London",67,0.444,
93246,Indie,Vansire,Nice to See You,65,0.539,
93253,Indie,The National,I Need My Girl,69,0.523,
93265,Indie,Nicotine's Famous Honey,Running,65,0.454,
93268,Indie,Arizona Zervas,No I in Team,67,0.74,
93285,Indie,The Head and the Heart,Don't Dream It's Over,66,0.433,
93307,Indie,Cautious Clay,Cold War,66,0.637,
93334,Indie,Craig Cardiff,Dirty Old Town,68,0.555,
93338,Indie,SYML,Girl - Acoustic,70,0.413,
93363,Indie,Ben Howard,Only Love,74,0.545,
93372,Indie,MISSIO,Bottom Of The Deep Blue Sea,67,0.573,
93374,Indie,Polo & Pan,Nanã,66,0.687,
93389,Indie,for KING & COUNTRY,joy.,67,0.68,
93395,Indie,Gregory Alan Isakov,San Luis,69,0.567,
93402,Indie,James Blake,Into The Red,66,0.508,
93410,Indie,Dermot Kennedy,Young & Free,66,0.487,
93458,Indie,Sabrina Claudio,Unravel Me,66,0.387,
93470,Indie,Ben Howard,Old Pine,72,0.401,
93504,Indie,Tall Heights,Spirit Cold,67,0.426,
93550,Indie,Tall Heights,Horse to Water,67,0.517,
93561,Indie,Halsey,Hold Me Down,66,0.677,
93604,Indie,The Raconteurs,"Steady, As She Goes",65,0.524,
93632,Indie,Chloe x Halle,Happy Without Me,66,0.57,
93653,Indie,Bryce Fox,Horns,66,0.49,
93669,Indie,Arctic Monkeys,Knee Socks,69,0.665,
93674,Indie,Fleet Foxes,Blue Ridge Mountains,60,0.524,
93680,Indie,Mipso,People Change,69,0.374,
93699,Indie,Novo Amor,State Lines,67,0.514,
93705,Indie,Bon Iver,Blood Bank,65,0.494,
93732,Indie,Harrison Storm,Change It All,66,0.445,
93775,Indie,Kim Petras,Heart to Break,66,0.74,
93855,Indie,Kings of Leon,Closer,67,0.398,
93887,Indie,Donovan Woods,"Portland, Maine",67,0.608,
93929,Indie,Aquilo,Thin,66,0.604,
93933,Indie,Olivia O'Brien,I Don't Exist,66,0.743,
93952,Indie,Carly Rae Jepsen,No Drug Like Me,65,0.553,
94004,Indie,Halsey,Drive,64,0.571,
94015,Indie,Matthew And The Atlas,Elijah,65,0.479,
94020,Indie,Roo Panes,Tiger Striped Sky,67,0.473,
94062,Indie,Møme,Aloha,68,0.613,
94071,Indie,Greyson Chance,Low,66,0.476,
94076,Indie,Kailee Morgue,Siren,60,0.603,
94105,Indie,Riley Pearce,Brave,65,0.505,
94130,Indie,Cody Simpson,Pretty Brown Eyes,66,0.653,
94150,Indie,Tep No,Toluca Lake - Imad Remix,65,0.669,
94320,Indie,Rhys,Too Good To Be True,71,0.669,
94409,Indie,Mandolin Orange,Amsterdam - Recorded at Spotify Studios NYC,65,0.532,
94413,Indie,Vera Blue,All The Pretty Girls,68,0.708,
94435,Indie,Sasha Sloan,I’ll Be There,56,0.516,
94481,Indie,The Black Keys,Little Black Submarines,66,0.365,
94482,Indie,Bahamas,Don't You Want Me,65,0.667,
94807,Indie,Sticky Fingers,How To Fly,70,0.676,
94815,Indie,The xx,On Hold,67,0.723,
94881,Indie,Cris Cab,Just Wanna Love You (feat. J. Balvin),65,0.687,
94973,Indie,Ocean Alley,Confidence,74,0.59,
95228,Indie,Nao,If You Ever (feat. 6LACK),65,0.488,
95325,Indie,Elijah Blake,Black and Blue,58,0.535,
95363,Indie,Astrid S,Closer,68,0.531,
95712,Indie,IV Of Spades,Mundo,73,0.705,
95793,Indie,Rhye,Open,65,0.551,
95931,Indie,December Avenue,Kahit Di Mo Alam,76,0.45,
96041,Indie,James TW,For You,66,0.717,
96470,Indie,Joshua Hyslop,Long Way Down,67,0.708,
96923,Children’s Music,IV Of Spades,Mundo,73,0.705,
97037,Children’s Music,GRAACE,SOS,56,0.552,
97068,Children’s Music,Natalia Lafourcade,Hasta la Raíz,72,0.585,
97099,Children’s Music,December Avenue,Kahit Di Mo Alam,75,0.45,
97318,Children’s Music,León Larregui,Brillas,73,0.625,
97616,Children’s Music,Zoé,Azul,69,0.516,
98290,Children’s Music,Unlike Pluto,Riptide (Pluto Tapes),58,0.585,
98338,Children’s Music,Heroes Del Silencio,Maldito duende,67,0.374,
98716,Children’s Music,La Mosca Tse-Tse,Para No Verte Más,71,0.658,
98754,Children’s Music,Faith No More,Easy,65,0.506,
100983,Children’s Music,Kasabian,Fire,66,0.525,
102494,Children’s Music,Sonic Youth,Superstar,58,0.372,
103331,Children’s Music,IV Of Spades,Dulo Ng Hangganan,66,0.565,
107815,Pop,Khalid,Better,88,0.596,
107821,Pop,Post Malone,Better Now,93,0.68,
107844,Pop,Post Malone,Psycho (feat. Ty Dolla $ign),89,0.739,
107869,Pop,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),84,0.613,
107871,Pop,Khalid,My Bad,78,0.645,
107874,Pop,Billie Eilish,bellyache,87,0.695,
107891,Pop,Post Malone,Candy Paint,84,0.67,
107906,Pop,Billie Eilish,you should see me in a crown,85,0.697,
107927,Pop,Billie Eilish,come out and play,84,0.64,
107934,Pop,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,84,0.698,
107963,Pop,Lennon Stella,La Di Da,81,0.689,
107968,Pop,Halsey,Without Me (with Juice WRLD),81,0.742,
107986,Pop,Ariana Grande,Side To Side,84,0.65,
107993,Pop,Mario,Let Me Love You,80,0.656,
108005,Pop,Billie Eilish,watch,82,0.441,
108007,Pop,Khalid,Suncity (feat. Empress Of),82,0.694,
108038,Pop,2 Chainz,Rule The World (feat. Ariana Grande),80,0.592,
108049,Pop,DJ Khaled,No Brainer,84,0.552,
108061,Pop,Joji,YEAH RIGHT,81,0.672,
108069,Pop,Mac Miller,Self Care,81,0.52,
108078,Pop,Social House,Magic In The Hamptons (feat. Lil Yachty),77,0.769,
108110,Pop,Hozier,Take Me to Church,76,0.566,
108113,Pop,Travis Scott,Antidote,77,0.713,
108119,Pop,Twenty One Pilots,Chlorine,82,0.609,
108120,Pop,Travis Scott,WAKE UP,77,0.741,
108135,Pop,X Ambassadors,Unsteady,78,0.389,
108140,Pop,Alessia Cara,Scars To Your Beautiful,76,0.573,
108143,Pop,Owl City,Fireflies,79,0.591,
108144,Pop,OneRepublic,Counting Stars,74,0.664,
108149,Pop,Ruel,Younger,78,0.745,
108182,Pop,Ed Sheeran,Photograph,86,0.614,
108199,Pop,Meghan Trainor,Like I'm Gonna Lose You,80,0.63,
108214,Pop,Miguel,Sure Thing,75,0.684,
108231,Pop,The Weeknd,Die For You,78,0.586,
108245,Pop,Joji,TEST DRIVE,78,0.646,
108249,Pop,G-Eazy,"Me, Myself & I",79,0.757,
108281,Pop,Rihanna,Take A Bow,80,0.697,
108288,Pop,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),83,0.67,
108294,Pop,Khalid,Vertigo,76,0.487,
108296,Pop,Drake,Mob Ties,80,0.755,
108302,Pop,Khalid,Shot Down,74,0.767,
108304,Pop,Clean Bandit,Solo (feat. Demi Lovato),87,0.737,
108323,Pop,Peter Manos,In My Head,80,0.499,
108325,Pop,Future,Hard Work Pays Off,77,0.736,
108328,Pop,Camila Cabello,Real Friends,79,0.701,
108349,Pop,Kendrick Lamar,All The Stars (with SZA),84,0.698,
108362,Pop,Alec Benjamin,Water Fountain,76,0.723,
108383,Pop,SZA,Broken Clocks,74,0.684,
108397,Pop,LANCO,Greatest Love Story,75,0.671,
108403,Pop,Ed Sheeran,Dive,80,0.761,
108431,Pop,James Arthur,Can I Be Him,79,0.696,
108435,Pop,Adele,When We Were Young,74,0.381,
108484,Pop,Khalid,Motion,74,0.554,
108486,Pop,Rihanna,Bitch Better Have My Money,77,0.778,
108498,Pop,ScHoolboy Q,X (with 2 Chainz & Saudi),77,0.768,
108502,Pop,Nelly,Dilemma,78,0.725,
108526,Pop,ayokay,Stay With Me,74,0.695,
108536,Pop,Quinn XCII,U & Us,71,0.605,
108539,Pop,Kodak Black,Codeine Dreaming (feat. Lil Wayne),77,0.736,
108546,Pop,Travis Scott,90210 (feat. Kacy Hill),72,0.402,
108547,Pop,Mac Miller,Hurt Feelings,76,0.69,
108550,Pop,Drake,Headlines,74,0.636,
108552,Pop,Quinn XCII,Tough (feat. Noah Kahan),71,0.729,
108555,Pop,J. Cole,Power Trip,73,0.667,
108567,Pop,Future,Low Life,76,0.722,
108573,Pop,Post Malone,Money Made Me Do It,74,0.734,
108588,Pop,Offset,Father Of 4 (feat. Big Rube),75,0.736,
108591,Pop,Harry Styles,Sign of the Times,79,0.516,
108592,Pop,KIDS SEE GHOSTS,Reborn,77,0.585,
108596,Pop,Lady Gaga,Music To My Eyes,78,0.625,
108612,Pop,Bastille,Pompeii,70,0.679,
108615,Pop,Hozier,No Plan,67,0.456,
108632,Pop,Charlie Puth,One Call Away,69,0.667,
108647,Pop,Twenty One Pilots,Jumpsuit,78,0.62,
108651,Pop,Quinn XCII,Always Been You,70,0.731,
108653,Pop,Dean Lewis,Waves,70,0.521,
108654,Pop,Aminé,Heebiejeebies - Bonus,73,0.766,
108674,Pop,A$AP Rocky,Sundress,77,0.721,
108675,Pop,Khalid,The Ways (with Swae Lee),73,0.727,
108729,Pop,Edward Sharpe & The Magnetic Zeros,Home,74,0.542,
108734,Pop,Ashanti,Foolish,73,0.477,
108739,Pop,Adele,Send My Love (To Your New Lover),73,0.69,
108759,Pop,Nick Jonas,Close,72,0.653,
108766,Pop,Hozier,"Wasteland, Baby!",65,0.427,
108768,Pop,Vampire Weekend,Harmony Hall,76,0.653,
108769,Pop,OneRepublic,Secrets,76,0.515,
108775,Pop,"Tyler, The Creator",Boredom,74,0.559,
108777,Pop,Niykee Heaton,Bad Intentions,72,0.743,
108779,Pop,Hozier,Talk,65,0.397,
108865,Pop,James TW,Say Love,78,0.752,
108946,Pop,Beyoncé,Drunk in Love,74,0.589,
108971,Pop,Jeremih,Planez,73,0.65,
108980,Pop,The Weeknd,Try Me,74,0.466,
108992,Pop,Cheat Codes,No Promises (feat. Demi Lovato),68,0.739,
108993,Pop,Niall Horan,Too Much To Ask,78,0.509,
108999,Pop,Khalid,Therapy,70,0.707,
109006,Pop,Morgan Evans,Kiss Somebody,69,0.57,
109034,Pop,Quinn XCII,Life Must Go On,67,0.715,
109057,Pop,The Weeknd,Reminder,74,0.705,
109073,Pop,David Guetta,2U,70,0.542,
109097,Pop,Sam Hunt,Break Up In A Small Town,70,0.579,
109139,Pop,Kanye West,Ultralight Beam,72,0.596,
109149,Pop,Childish Gambino,Feels Like Summer,76,0.554,
109158,Pop,6LACK,Switch,75,0.664,
109165,Pop,Drake,Lust For Life,71,0.462,
109174,Pop,6LACK,Seasons (feat. Khalid),73,0.605,
109181,Pop,Jason Derulo,Whatcha Say,67,0.615,
109211,Pop,John Gurney,Home With Her,68,0.731,
109230,Pop,Adele,Water Under the Bridge,70,0.596,
109242,Pop,Twenty One Pilots,House Of Gold,73,0.68,
109243,Pop,Avicii,Hey Brother,79,0.537,
109246,Pop,Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign),70,0.656,
109250,Pop,Tee Grizzley,First Day Out,75,0.587,
109268,Pop,Bon Iver,Holocene,71,0.375,
109282,Pop,Carly Rae Jepsen,Now That I Found You,71,0.611,
109311,Pop,NAV,Call Me,72,0.673,
109315,Pop,Joji,R.I.P. (feat. Trippie Redd),71,0.716,
109335,Pop,Camila Cabello,OMG,72,0.655,
109349,Pop,Nicki Minaj,Feeling Myself,66,0.564,
109354,Pop,Taylor Swift,Wildest Dreams,66,0.553,
109359,Pop,Alicia Keys,Girl On Fire,76,0.482,
109368,Pop,Selena Gomez,The Heart Wants What It Wants,73,0.616,
109392,Pop,CVBZ,Be Somebody,69,0.626,
109396,Pop,John Legend,Preach,75,0.508,
109429,Pop,Rick Springfield,Jessie's Girl,70,0.727,
109431,Pop,Ty Dolla $ign,Love U Better (feat. Lil Wayne & The-Dream),71,0.645,
109443,Pop,Kid Cudi,Soundtrack 2 My Life,68,0.524,
109446,Pop,Luis Fonsi,Despacito,70,0.665,
109450,Pop,Drake,Houstatlantavegas,70,0.683,
109522,Pop,Alicia Keys,Fallin',75,0.653,
109527,Pop,Quinn XCII,Panama,67,0.73,
109533,Pop,Future,Never Stop,71,0.571,
109540,Pop,The Neighbourhood,Daddy Issues,75,0.588,
109562,Pop,James Bay,Hold Back The River,67,0.715,
109568,Pop,Noah Kahan,False Confidence,73,0.417,
109576,Pop,Kanye West,Flashing Lights,68,0.634,
109587,Pop,Jess Glynne,All I Am,77,0.74,
109592,Pop,Tinashe,2 On (feat. ScHoolboy Q),70,0.742,
109609,Pop,Ying Yang Twins,Get Low,72,0.521,
109613,Pop,Trey Songz,Solid,70,0.574,
109618,Pop,Andy Grammer,Keep Your Head Up,67,0.674,
109626,Pop,Rascal Flatts,I Like The Sound Of That,70,0.611,
109637,Pop,Jaden Smith,SOHO,72,0.547,
109647,Pop,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,76,0.658,
109656,Pop,Diplo,Wish - Trippie Mix,69,0.561,
109666,Pop,Future,Temptation,70,0.66,
109690,Pop,Gregory Alan Isakov,Chemicals,71,0.608,
109694,Pop,blackbear,anxiety (with FRND),68,0.652,
109707,Pop,Jeremih,Down On Me,72,0.7,
109744,Pop,Twenty One Pilots,The Judge,73,0.423,
109747,Pop,Future,Promise U That,70,0.638,
109758,Pop,Noah Cyrus,Team,69,0.663,
109760,Pop,Flume,Never Be Like You (feat. Kai),70,0.444,
109780,Pop,6LACK,Luving U,70,0.723,
109806,Pop,Kygo,Stargazing,79,0.677,
109812,Pop,Ariana Grande,Thinking Bout You,70,0.507,
109859,Pop,P!nk,Beautiful Trauma,73,0.412,
109888,Pop,Coldplay,Hymn for the Weekend,78,0.49,
109899,Pop,Post Malone,"Yours Truly, Austin Post",69,0.649,
109916,Pop,A$AP Rocky,A$AP Forever,73,0.469,
109922,Pop,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),71,0.733,
109930,Pop,Christina Perri,human,71,0.439,
109935,Pop,Kodak Black,Too Many Years,71,0.665,
109954,Pop,Drake,Sandra’s Rose,70,0.487,
109963,Pop,JP Cooper,September Song,78,0.614,
109996,Pop,Phillip Phillips,"Gone, Gone, Gone",68,0.662,
110001,Pop,Miguel,Banana Clip,67,0.638,
110014,Pop,Blanco White,Olalla,74,0.572,
110024,Pop,Twenty One Pilots,Pet Cheetah,72,0.653,
110060,Pop,Passion Pit,Take a Walk,68,0.566,
110086,Pop,Travis Scott,sweet sweet,66,0.733,
110109,Pop,Kanye West,Homecoming,66,0.679,
110110,Pop,Kygo,Stole the Show,76,0.679,
110111,Pop,Hinder,Lips Of An Angel,71,0.476,
110130,Pop,BROCKHAMPTON,SWEET,71,0.718,
110148,Pop,The Lumineers,Stubborn Love,66,0.598,
110205,Pop,Kid Ink,Show Me (feat. Chris Brown),72,0.711,
110214,Pop,Ava Max,So Am I,70,0.684,
110233,Pop,OneRepublic,Good Life,70,0.636,
110235,Pop,Jess Glynne,123,71,0.707,
110258,Pop,Dixie Chicks,Cowboy Take Me Away,69,0.467,
110274,Pop,Lana Del Rey,Lust For Life (with The Weeknd),71,0.504,
110279,Pop,blackbear,the 1,66,0.571,
110294,Pop,The Weeknd,Privilege,71,0.391,
110303,Pop,Lord Huron,The Night We Met (feat. Phoebe Bridgers),74,0.424,
110308,Pop,Augustana,Boston,69,0.404,
110331,Pop,Passion Pit,Sleepyhead,66,0.568,
110336,Pop,Lady Gaga,Before I Cry,71,0.48,
110371,Pop,Why Don't We,These Girls,67,0.71,
110375,Pop,Twenty One Pilots,Message Man,70,0.715,
110409,Pop,Kat Dahlia,I Think I'm In Love,69,0.632,
110414,Pop,DEAN,instagram,70,0.462,
110426,Pop,Post Malone,Broken Whiskey Glass,68,0.512,
110458,Pop,The Chainsmokers,All We Know,72,0.662,
110470,Pop,Lil Baby,Never Needed No Help,68,0.713,
110474,Pop,Gregory Alan Isakov,San Luis,69,0.567,
110495,Pop,Troye Sivan,The Good Side,69,0.426,
110507,Pop,Kehlani,In My Feelings,65,0.556,
110509,Pop,Jacquees,Come Thru,67,0.725,
110522,Pop,Matt Champion,Fangs,65,0.69,
110537,Pop,Mariah Carey,Fantasy,68,0.671,
110542,Pop,Bonnie Tyler,Total Eclipse of the Heart,76,0.435,
110566,Pop,blink-182,Adam's Song,71,0.514,
110590,Pop,KYLE,Moment (feat. Wiz Khalifa),66,0.708,
110595,Pop,J. Cole,Rich Niggaz,66,0.586,
110600,Pop,Walker Hayes,90's Country,68,0.738,
110632,Pop,Kanye West,Wolves,69,0.539,
110637,Pop,Ben Howard,Only Love,74,0.545,
110649,Pop,Greyson Chance,Low,66,0.476,
110657,Pop,Rihanna,Kiss It Better,63,0.619,
110667,Pop,Mat Kearney,Memorized,65,0.547,
110706,Pop,Solange,My Skin My Logo,70,0.724,
110716,Pop,Ariana Grande,Bad Decisions,68,0.698,
110720,Pop,Cody Simpson,Pretty Brown Eyes,66,0.653,
110723,Pop,Hootie & The Blowfish,Only Wanna Be with You,70,0.49,
110737,Pop,J Balvin,Si Tu Novio Te Deja Sola,72,0.718,
110743,Pop,Beyoncé,Flawless Remix,69,0.639,
110766,Pop,BTS,Don't Leave Me,70,0.62,
110773,Pop,Cuco,Amor de Siempre,65,0.565,
110793,Pop,Miguel,Remember Me (Dúo),66,0.612,
110817,Pop,VÉRITÉ,Somebody Else,67,0.674,
110825,Pop,Cavetown,Fool,67,0.671,
110829,Pop,Janelle Monáe,I Like That,67,0.482,
110848,Pop,Halsey,Hold Me Down,66,0.677,
110864,Pop,Twenty One Pilots,Leave The City,70,0.506,
110876,Pop,Lana Del Rey,Cherry,69,0.449,
110881,Pop,Ms. Lauryn Hill,Doo Wop (That Thing),74,0.535,
110901,Pop,Bazzi,Sober,64,0.534,
110932,Pop,John Mayer,Stop This Train,67,0.619,
110940,Pop,Cage The Elephant,Trouble,72,0.47,
110941,Pop,Nelly Furtado,I'm Like A Bird,71,0.616,
110946,Pop,Hunter Hayes,Dear God,65,0.63,
110948,Pop,LANY,ILYSB,72,0.636,
110952,Pop,Ben Howard,Old Pine,72,0.401,
110958,Pop,Bruno Mars,Straight Up & Down,69,0.552,
110979,Pop,Liam Payne,Bedroom Floor,70,0.597,
110989,Pop,Harry Styles,Woman,66,0.624,
111001,Pop,Meek Mill,Almost Slipped,67,0.49,
111018,Pop,Lady Antebellum,Need You Now,66,0.587,
111046,Pop,Kim Petras,Heart to Break,66,0.74,
111048,Pop,Beyoncé,Dance for You,66,0.616,
111056,Pop,Carly Rae Jepsen,No Drug Like Me,65,0.553,
111082,Pop,Lana Del Rey,High By The Beach,68,0.536,
111093,Pop,Cheat Codes,Feeling of Falling,69,0.744,
111110,Pop,Melanie Martinez,Pacify Her,67,0.576,
111134,Pop,Harry Styles,Ever Since New York,67,0.389,
111151,Pop,Calvin Harris,One Kiss (with Dua Lipa) - Oliver Heldens Remix,74,0.717,
111168,Pop,Mario,Drowning,66,0.516,
111182,Pop,OutKast,Roses,72,0.751,
