,artist,track,acousticness,energy,popularity,favorite,prediction
89578,Fourtwnty,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",0.355,0.649,66,0,1
89818,John Holt,True Believer in Love,0.0703,0.598,24,0,1
92300,Alan Walker,All Falls Down,0.253,0.672,73,0,1
92580,DrefQuila,A fuego,0.3379999999999999,0.352,71,0,1
92663,Amir,Longtemps,0.6829999999999999,0.456,67,0,1
94449,Los Duros Record,Estamos Bien Bad,0.387,0.531,44,0,1
94529,TRESOR,Aphrodite,0.727,0.525,43,0,1
94751,The Ballroom Thieves,Lost in the Light,0.25,0.351,58,0,1
95142,Tom Walker,Fade Away,0.825,0.267,56,0,1
95228,H.E.R.,Could've Been (Remix) (feat. Tone Stith),0.598,0.356,52,0,1
95351,Silvestre Dangond,Vivir Bailando,0.104,0.848,76,0,1
95468,Cavetown,Self Control,0.494,0.251,53,0,1
95900,Dennis DJ,Agora é Tudo Meu,0.7,0.933,83,0,1
96060,Kontra K,Warnung,0.0453,0.79,74,0,1
96115,Sam Smith,Dancing With A Stranger (With Normani) - Cheat Codes Remix,0.103,0.557,72,0,1
96121,Tyla Yaweh,High Right Now,0.0116,0.557,72,0,1
96142,Alan Walker,All Falls Down (feat. Juliander),0.253,0.672,73,0,1
96596,Fuego,Sigo Fresh,0.477,0.562,71,0,1
96669,Angèle,Tout oublier,0.493,0.542,78,0,1
96846,James Blake,Mile High (feat. Travis Scott & Metro Boomin),0.4029999999999999,0.37,77,0,1
96848,Lil Skies,Name in the Sand,0.0949,0.6559999999999999,75,0,1
96853,Gunna,Baby Birkin,0.2319999999999999,0.649,72,0,1
96854,Juice WRLD,She’s The One,0.308,0.804,72,0,1
96855,Bad Bunny,¿Quien Tu Eres?,0.185,0.58,76,0,1
96857,Yung Pinch,Nightmares (feat. Lil Skies),0.107,0.698,73,0,1
96868,Sean Paul,Contra La Pared,0.0156,0.588,80,0,1
96871,Jacquees,You (Remix) feat. Blueface - Remix,0.4639999999999999,0.43,71,0,1
96874,Imagine Dragons,Believer (feat. Lil Wayne),0.0579999999999999,0.838,74,0,1
96984,Bryant Myers,Tanta Falta Remix,0.198,0.736,74,0,1
97035,Sam Feldt,Gold,0.539,0.703,72,0,1
97115,Alok,All The Lies (with Felix Jaehn & The Vamps),0.1669999999999999,0.835,73,0,1
97166,Tom Walker,Not Giving In,0.632,0.7240000000000001,66,0,1
97441,Danny Ocean,Swing,0.4579999999999999,0.616,82,0,1
97464,Jason Walker,Fun While It Lasted,0.0514,0.674,55,0,1
97515,Chlara,The Nights,0.8270000000000001,0.32,68,0,1
97524,Ghetto Kids,Tra Tra Tra,0.034,0.6970000000000001,71,0,1
97896,David Rees,De Ellos Aprendí,0.145,0.5720000000000001,76,0,1
98560,Yo Gotti,Put a Date On It (feat. Lil Baby),0.0123,0.659,79,0,1
98567,YNW Melly,Butter Pecan - Bonus Track,0.0896,0.691,76,0,1
98568,2 Chainz,Rule The World (feat. Ariana Grande),0.158,0.584,78,0,1
98573,Juice WRLD,Big,0.0628,0.6409999999999999,77,0,1
98574,Sofia Reyes,R.I.P. (feat. Rita Ora & Anitta),0.18,0.752,88,0,1
98578,Lil Skies,Blue Strips,0.102,0.7759999999999999,72,0,1
98582,Drax Project,Woke Up Late (feat. Hailee Steinfeld),0.043,0.66,79,0,1
98589,The Black Keys,Lo/Hi,0.015,0.679,76,0,1
98596,Lil Skies,When I’m Wasted,0.0731,0.639,71,0,1
98607,Myke Towers,Si Se Da,0.374,0.71,87,0,1
98610,Brytiago,Controla,0.504,0.6990000000000001,83,0,1
98619,Quinn XCII,U & Us,0.087,0.73,69,0,1
98631,Lennon Stella,BITCH (takes one to know one),0.0311,0.55,72,0,1
98632,Lost Kings,Anti-Everything,0.28,0.6629999999999999,72,0,1
98633,ARTY,Save Me Tonight,0.0113,0.899,73,0,1
98639,CNCO,Pretend,0.284,0.883,76,0,1
98641,Maggie Rogers,Say It,0.208,0.496,67,0,1
98652,Why Don't We,Cold In LA,0.133,0.624,73,0,1
98654,Quinn XCII,Holding Hands (feat. Elohim),0.452,0.451,66,0,1
98656,Emma Sameth,Spin With You (feat. Jeremy Zucker),0.718,0.445,71,0,1
98670,Drake,Houstatlantavegas,0.3929999999999999,0.695,68,0,1
98703,George Strait,God And Country Music,0.727,0.455,59,0,1
98708,Dermot Kennedy,Lost,0.243,0.731,73,0,1
98730,TAEMIN,WANT,0.0261,0.757,71,0,1
98778,MARINA,Superstar,0.322,0.574,68,0,1
98819,Alex Rose,Khalifa,0.371,0.696,72,0,1
98820,Mandolin Orange,The Wolves,0.856,0.341,63,0,1
98844,HRVY,Told You So,0.0697,0.825,71,0,1
98846,Rita Ora,Only Want You (feat. 6LACK),0.0574,0.547,72,0,1
98873,Kenny Man,Ni Gucci Ni Prada - Remix,0.245,0.7559999999999999,77,0,1
98971,Dave,Location (feat. Burna Boy),0.271,0.496,81,0,1
98974,Carlos Vives,Si Me Das Tu Amor,0.0613,0.88,71,0,1
99084,HONNE,Crying Over You ◐ (feat. RM & BEKA),0.0835,0.652,67,0,1
99168,Mansionair,Easier,0.2019999999999999,0.482,62,0,1
99223,Ron Pope,Come To California - Acoustic,0.7959999999999999,0.317,60,0,1
99370,YNW Melly,Mixed Personalities (feat. Kanye West),0.457,0.44,91,0,1
99375,Sam Smith,Dancing With A Stranger (with Normani),0.45,0.52,96,0,1
99380,Cardi B,Please Me,0.0642,0.57,92,0,1
99382,Lauv,i'm so tired...,0.176,0.733,95,0,1
99384,Lil Skies,i,0.627,0.4529999999999999,87,0,1
99386,Khalid,My Bad,0.5429999999999999,0.568,91,0,1
99396,Khalid,Outta My Head (with John Mayer),0.0174,0.545,88,0,1
99398,Juice WRLD,Hear Me Calling,0.308,0.687,86,0,1
99402,Offset,Legacy (feat. Travis Scott & 21 Savage),0.178,0.513,85,0,1
99403,Ariana Grande,bloodline,0.0815,0.665,88,0,1
101605,Khalid,Bad Luck,0.2769999999999999,0.52,81,0,1
101608,Khalid,Right Back,0.0649,0.427,81,0,1
101610,Anuel Aa,Secreto,0.602,0.8029999999999999,95,0,1
101612,Khalid,Hundred,0.0521,0.483,80,0,1
101613,FLETCHER,Undrunk,0.455,0.5720000000000001,86,0,1
101620,Khalid,Don't Pretend,0.246,0.547,77,0,1
101623,YK Osiris,Worth It,0.4679999999999999,0.528,83,0,1
101635,Kehlani,Nights Like This (feat. Ty Dolla $ign),0.367,0.725,87,0,1
101637,Khalid,Free Spirit,0.308,0.446,80,0,1
101639,Khalid,Twenty One,0.212,0.445,79,0,1
101640,Khalid,Bluffin',0.354,0.314,78,0,1
101641,Ariana Grande,in my head,0.173,0.6,84,0,1
101645,Sia,No New Friends,0.0648,0.7020000000000001,85,0,1
101649,Daya,Insomnia,0.0944,0.653,84,0,1
101650,Jonas Brothers,Cool,0.0106,0.619,84,0,1
101651,The Chainsmokers,Kills You Slowly,0.0518,0.429,83,0,1
